Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
13,27,Nico HulkenbergHUL,Haas Ferrari,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
14,23,Alexander AlbonALB,Williams Mercedes,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
15,20,Kevin MagnussenMAG,Haas Ferrari,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
17,2,Logan SargeantSAR,Williams Mercedes,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
18,31,Esteban OconOCO,Alpine Renault,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,69.0,+1 lap,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
NC,10,Pierre GaslyGAS,Alpine Renault,33.0,DNF,0.0,2024,Flag of HungaryHungary,21 Jul,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
DQ,63,George RussellRUS,Mercedes,44.0,1:19:57.040,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
1,44,Lewis HamiltonHAM,Mercedes,44.0,+0.526s,25.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
2,81,Oscar PiastriPIA,McLaren Mercedes,44.0,+1.173s,18.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
3,16,Charles LeclercLEC,Ferrari,44.0,+8.549s,15.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,44.0,+9.226s,12.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
5,4,Lando NorrisNOR,McLaren Mercedes,44.0,+9.850s,10.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
6,55,Carlos SainzSAI,Ferrari,44.0,+19.795s,8.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,44.0,+43.195s,7.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,44.0,+49.963s,4.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
9,31,Esteban OconOCO,Alpine Renault,44.0,+52.552s,2.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
10,3,Daniel RicciardoRIC,RB Honda RBPT,44.0,+54.926s,1.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,44.0,+63.011s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
12,23,Alexander AlbonALB,Williams Mercedes,44.0,+63.651s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
13,10,Pierre GaslyGAS,Alpine Renault,44.0,+64.365s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
14,20,Kevin MagnussenMAG,Haas Ferrari,44.0,+66.631s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
15,77,Valtteri BottasBOT,Kick Sauber Ferrari,44.0,+70.638s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
16,22,Yuki TsunodaTSU,RB Honda RBPT,44.0,+76.737s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
17,2,Logan SargeantSAR,Williams Mercedes,44.0,+86.057s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
18,27,Nico HulkenbergHUL,Haas Ferrari,44.0,+88.833s,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
NC,24,Zhou GuanyuZHO,Kick Sauber Ferrari,5.0,DNF,0.0,2024,Flag of BelgiumBelgium,28 Jul,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
1,4,Lando NorrisNOR,McLaren Mercedes,72.0,1:30:45.519,26.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,72.0,+22.896s,18.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
3,16,Charles LeclercLEC,Ferrari,72.0,+25.439s,15.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
4,81,Oscar PiastriPIA,McLaren Mercedes,72.0,+27.337s,12.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
5,55,Carlos SainzSAI,Ferrari,72.0,+32.137s,10.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,72.0,+39.542s,8.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
7,63,George RussellRUS,Mercedes,72.0,+44.617s,6.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
8,44,Lewis HamiltonHAM,Mercedes,72.0,+49.599s,4.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
9,10,Pierre GaslyGAS,Alpine Renault,71.0,+1 lap,2.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
10,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,71.0,+1 lap,1.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
11,27,Nico HulkenbergHUL,Haas Ferrari,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
12,3,Daniel RicciardoRIC,RB Honda RBPT,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
14,23,Alexander AlbonALB,Williams Mercedes,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
15,31,Esteban OconOCO,Alpine Renault,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
16,2,Logan SargeantSAR,Williams Mercedes,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
17,22,Yuki TsunodaTSU,RB Honda RBPT,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
18,20,Kevin MagnussenMAG,Haas Ferrari,71.0,+1 lap,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,70.0,+2 laps,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,70.0,+2 laps,0.0,2024,Flag of NetherlandsNetherlands,25 Aug,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
1,16,Charles LeclercLEC,Ferrari,53.0,1:14:40.727,25.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
2,81,Oscar PiastriPIA,McLaren Mercedes,53.0,+2.664s,18.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
3,4,Lando NorrisNOR,McLaren Mercedes,53.0,+6.153s,16.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
4,55,Carlos SainzSAI,Ferrari,53.0,+15.621s,12.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
5,44,Lewis HamiltonHAM,Mercedes,53.0,+22.820s,10.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,53.0,+37.932s,8.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
7,63,George RussellRUS,Mercedes,53.0,+39.715s,6.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,53.0,+54.148s,4.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
9,23,Alexander AlbonALB,Williams Mercedes,53.0,+67.456s,2.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
10,20,Kevin MagnussenMAG,Haas Ferrari,53.0,+68.302s,1.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,53.0,+68.495s,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
12,43,Franco ColapintoCOL,Williams Mercedes,53.0,+81.308s,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
13,3,Daniel RicciardoRIC,RB Honda RBPT,53.0,+93.452s,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
14,31,Esteban OconOCO,Alpine Renault,52.0,+1 lap,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
15,10,Pierre GaslyGAS,Alpine Renault,52.0,+1 lap,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,52.0,+1 lap,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
17,27,Nico HulkenbergHUL,Haas Ferrari,52.0,+1 lap,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,52.0,+1 lap,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,52.0,+1 lap,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
NC,22,Yuki TsunodaTSU,RB Honda RBPT,7.0,DNF,0.0,2024,Flag of ItalyItaly,01 Sep,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
1,81,Oscar PiastriPIA,McLaren Mercedes,51.0,1:32:58.007,25.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
2,16,Charles LeclercLEC,Ferrari,51.0,+10.910s,18.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
3,63,George RussellRUS,Mercedes,51.0,+31.328s,15.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
4,4,Lando NorrisNOR,McLaren Mercedes,51.0,+36.143s,13.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,51.0,+77.098s,10.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,51.0,+85.468s,8.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
7,23,Alexander AlbonALB,Williams Mercedes,51.0,+87.396s,6.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
8,43,Franco ColapintoCOL,Williams Mercedes,51.0,+89.541s,4.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
9,44,Lewis HamiltonHAM,Mercedes,51.0,+92.401s,2.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
10,50,Oliver BearmanBEA,Haas Ferrari,51.0,+93.127s,1.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
11,27,Nico HulkenbergHUL,Haas Ferrari,51.0,+93.465s,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
12,10,Pierre GaslyGAS,Alpine Renault,51.0,+117.189s,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
13,3,Daniel RicciardoRIC,RB Honda RBPT,51.0,+146.907s,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
14,24,Zhou GuanyuZHO,Kick Sauber Ferrari,51.0,+148.841s,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
15,31,Esteban OconOCO,Alpine Renault,50.0,+1 lap,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,50.0,+1 lap,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
17,11,Sergio PerezPER,Red Bull Racing Honda RBPT,49.0,DNF,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
18,55,Carlos SainzSAI,Ferrari,49.0,DNF,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,45.0,DNF,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
NC,22,Yuki TsunodaTSU,RB Honda RBPT,14.0,DNF,0.0,2024,Flag of AzerbaijanAzerbaijan,15 Sep,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
1,4,Lando NorrisNOR,McLaren Mercedes,62.0,1:40:52.571,25.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,62.0,+20.945s,18.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
3,81,Oscar PiastriPIA,McLaren Mercedes,62.0,+41.823s,15.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
4,63,George RussellRUS,Mercedes,62.0,+61.040s,12.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
5,16,Charles LeclercLEC,Ferrari,62.0,+62.430s,10.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
6,44,Lewis HamiltonHAM,Mercedes,62.0,+85.248s,8.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
7,55,Carlos SainzSAI,Ferrari,62.0,+96.039s,6.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,61.0,+1 lap,4.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
9,27,Nico HulkenbergHUL,Haas Ferrari,61.0,+1 lap,2.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,61.0,+1 lap,1.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
11,43,Franco ColapintoCOL,Williams Mercedes,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
12,22,Yuki TsunodaTSU,RB Honda RBPT,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
13,31,Esteban OconOCO,Alpine Renault,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
15,24,Zhou GuanyuZHO,Kick Sauber Ferrari,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
17,10,Pierre GaslyGAS,Alpine Renault,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
18,3,Daniel RicciardoRIC,RB Honda RBPT,61.0,+1 lap,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
19,20,Kevin MagnussenMAG,Haas Ferrari,57.0,DNF,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
NC,23,Alexander AlbonALB,Williams Mercedes,15.0,DNF,0.0,2024,Flag of SingaporeSingapore,22 Sep,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
1,16,Charles LeclercLEC,Ferrari,56.0,1:35:09.639,25.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
2,55,Carlos SainzSAI,Ferrari,56.0,+8.562s,18.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,56.0,+19.412s,15.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
4,4,Lando NorrisNOR,McLaren Mercedes,56.0,+20.354s,12.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
5,81,Oscar PiastriPIA,McLaren Mercedes,56.0,+21.921s,10.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
6,63,George RussellRUS,Mercedes,56.0,+56.295s,8.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,56.0,+59.072s,6.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
8,27,Nico HulkenbergHUL,Haas Ferrari,56.0,+62.957s,4.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
9,30,Liam LawsonLAW,RB Honda RBPT,56.0,+70.563s,2.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
10,43,Franco ColapintoCOL,Williams Mercedes,56.0,+71.979s,1.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
11,20,Kevin MagnussenMAG,Haas Ferrari,56.0,+79.782s,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
12,10,Pierre GaslyGAS,Alpine Renault,56.0,+90.558s,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
13,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
14,22,Yuki TsunodaTSU,RB Honda RBPT,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
16,23,Alexander AlbonALB,Williams Mercedes,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
18,31,Esteban OconOCO,Alpine Renault,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,55.0,+1 lap,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
NC,44,Lewis HamiltonHAM,Mercedes,1.0,DNF,0.0,2024,Flag of United States of AmericaUnited States,20 Oct,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
1,55,Carlos SainzSAI,Ferrari,71.0,1:40:55.800,25.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
2,4,Lando NorrisNOR,McLaren Mercedes,71.0,+4.705s,18.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
3,16,Charles LeclercLEC,Ferrari,71.0,+34.387s,16.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
4,44,Lewis HamiltonHAM,Mercedes,71.0,+44.780s,12.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
5,63,George RussellRUS,Mercedes,71.0,+48.536s,10.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,71.0,+59.558s,8.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
7,20,Kevin MagnussenMAG,Haas Ferrari,71.0,+63.642s,6.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
8,81,Oscar PiastriPIA,McLaren Mercedes,71.0,+64.928s,4.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
9,27,Nico HulkenbergHUL,Haas Ferrari,70.0,+1 lap,2.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
10,10,Pierre GaslyGAS,Alpine Renault,70.0,+1 lap,1.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
12,43,Franco ColapintoCOL,Williams Mercedes,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
13,31,Esteban OconOCO,Alpine Renault,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
14,77,Valtteri BottasBOT,Kick Sauber Ferrari,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
15,24,Zhou GuanyuZHO,Kick Sauber Ferrari,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
16,30,Liam LawsonLAW,RB Honda RBPT,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
17,11,Sergio PerezPER,Red Bull Racing Honda RBPT,70.0,+1 lap,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
NC,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,15.0,DNF,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
NC,23,Alexander AlbonALB,Williams Mercedes,0.0,DNF,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
NC,22,Yuki TsunodaTSU,RB Honda RBPT,0.0,DNF,0.0,2024,Flag of MexicoMexico,27 Oct,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
